Full fund name;Fund ISIN;Fund Manager;Fund size;Market sector;Morningstar category;Asset Class;Sharpe ratio 3 year;Standard deviation;OCF/TER(%);rating;(Current Yr-4);(Current Yr-3);(Current Yr-2);(Current Yr-1);(Current Yr);Fund code;Fund currency;Style;Buy;Sell;AMC(%);Distribution frequency;Distribution yield
iShares MSCI Europe UCITS ETF EUR Acc (GBP);IE00B4K48X80;IShares;660;Financial Services;Europe Large-Cap Blend Equity;Europe Equity;0.96;10.93;0.33;3;22.81;15.05;0.45;4.45;24.54;XCMEA;GBP;Passive;0.00 ;0.00 ;0.33;1year;
HSBC FTSE All World Index Fund C Acc;GB00BMJJJF91;HSBC;1670;Financial Services;Global Large-Cap Blend Equity;Global Equity;;;0.2;;;;;11.19;24.54;HSFWA;GBP;Passive;0.00 ;0.00 ;0.1;1year;
Fidelity Funds - Global Focus Fund Y-ACC-Euro (hedged);LU1366333331;Fidelity;312;Technology;Global Equity - Currency Hedged;Global Equity;;;1.07;;;;;;24.56;YGFEH;EUR;Active;0.00 ;0.00 ;0.8;1year;
Legal & General Global Emerging Markets Index Fund (I) Inc;GB00B4QY6B60;Legal & General;749;Financial Services;Global Emerging Markets Equity;Emerging Markets Global Equity;0.69;16.25;0.33;3;6.31;1.93;5.23;2.55;24.59;LGGMI;GBP;Passive;0.00 ;0.00 ;0.15;1year;
Fidelity Undiscovered Talent Fund Y-Accumulation;GB00BCZNQC18;Fidelity;6;Technology;Global Large-Cap Blend Equity;Global Equity;1.23;9.51;1.61;;;;10.50;2.15;24.60;YUTA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Jupiter Financial Opportunities Fund I Class Acc;GB00B5LG4657;Jupiter Asset Management;506;Financial Services;Sector Equity Financial Services;Global Equity;1.26;10.74;0.99;;31.19;6.27;12.44;2.34;24.60;JUFOA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Jupiter Financial Opportunities Fund I Class Inc;GB00B8JYV946;Jupiter Asset Management;506;Financial Services;Sector Equity Financial Services;Global Equity;1.27;10.73;0.99;;30.65;6.28;12.43;2.34;24.60;JUFOI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Legal & General Global Emerging Markets Index Fund (I) Acc;GB00B4KBDL25;Legal & General;749;Financial Services;Global Emerging Markets Equity;Emerging Markets Global Equity;0.69;16.26;0.33;3;6.33;1.95;5.20;2.51;24.61;LGGMA;GBP;Passive;0.00 ;0.00 ;0.15;1year;
Schroder QEP Global Active Value Fund Z Accumulation;GB00B76V8G74;Schroder;2612;Financial Services;Global Large-Cap Value Equity;Global Equity;1.08;10.96;0.93;;22.11;11.23;5.43;8.40;24.61;SZQVA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Schroder QEP Global Active Value Fund Z Income;GB00B76V8H81;Schroder;2612;Financial Services;Global Large-Cap Value Equity;Global Equity;1.08;10.96;0.93;;22.21;11.26;5.43;8.44;24.61;SZQVI;GBP;Active;0.00 ;0.00 ;0.75;1year;
Old Mutual Cirilium Moderate Portfolio R Acc;GB00B2Q8TQ06;Old Mutual;535;Financial Services;;;1.32;7.62;1.24;5;19.86;9.09;8.41;-0.10;24.62;CIMDA;GBP;Active;0.00 ;0.00 ;0.75;1year;
BlackRock Continental European Fund Class D Acc;GB00B4VY9893;BlackRock;659;Industrials;Europe ex-UK Large-Cap Equity;Europe Equity excl UK;1.4;10.26;0.93;;32.94;11.14;8.81;6.14;24.62;MCCOA;GBP;Active;0.00 ;0.00 ;0.75;1year;
AXA Framlington Global OppS Z Acc;GB00B7MMKJ14;AXA IM;70;Technology;Global Large-Cap Growth Equity;Global Equity;1.22;11.55;0.86;;21.85;12.68;12.98;6.16;24.67;FMGOA;GBP;Active;0.00 ;0.00 ;0.75;6months;
AXA Framlington Global Opps Z INC;GB00BRJZVP64;AXA IM;70;Technology;Global Large-Cap Growth Equity;Global Equity;1.21;11.56;0.86;;20.86;11.86;12.47;6.24;24.68;FMGZI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Legg Mason IF Clearbridge US Equity Fund Class X Acc GBP;GB00B8F2KD97;Legg Mason;47;Financial Services;US Large-Cap Blend Equity;North American Equity;1.05;13.7;1.05;;29.62;12.92;13.24;8.32;24.69;LMUEA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Schroder US Mid Cap Fund L Acc;GB00BDD2JX95;Schroder;1969;Industrials;US Mid-Cap Equity;North America;1.73;11.33;0.84;;;;21.37;17.32;24.72;SCMCL;GBP;Active;0.00 ;0.00 ;0.67;1year;
Schroder US Mid Cap Fund L Inc;GB00BDD2JZ10;Schroder;1969;Industrials;US Mid-Cap Equity;North America;1.74;11.33;0.84;;;;21.38;17.32;24.72;SCMUL;GBP;Active;0.00 ;0.00 ;0.67;1year;
JPM Emerging Europe Equity Fund C - Net Income;GB00B5NK2V63;J.P. Morgan Asset Management;81;Financial Services;Emerging Europe Equity;Emerging Markets Regional Equity;0.35;16.98;0.93;;;-5.75;-21.16;10.69;24.74;SPNUI;GBP;Active;0.00 ;0.00 ;0.75;1year;
Franklin UK Managers' Focus Fund W Acc;GB00B7MPWT49;Franklin Templeton;284;Financial Services;UK Flex-Cap Equity;UK Equity;1.16;10.42;0.84;;34.69;20.16;17.56;-4.79;24.74;BWMFW;GBP;Active;0.00 ;0.00 ;0.75;6months;
Threadneedle Specialist Investment Fund - Threadneedle Global Extended Alpha Z GBP Acc;GB00BVV27F53;Columbia Threadneedle;221;Financial Services;Global Large-Cap Growth Equity;Global Equity;1.4;11.76;0.89;;27.77;9.79;15.29;12.81;24.76;THXZA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Smith & Williamson Oriental Growth Fund B Acc;GB00B5448K84;Smith & Williamson;11;Technology;Asia-Pacific ex-Japan Equity;Asia Pacific Equity excl Japan;1.26;15;0.87;;14.20;0.60;15.70;16.72;24.78;SMOGA;GBP;Active;0.00 ;0.00 ;0.65;6months;
JOHCM Asia ex-Japan Fund A GBP Inc;IE00B3RQ2721;J O Hambro;568;Technology;Asia ex Japan Equity;Asia Pacific Equity excl Japan;1.13;13.36;1.01;4;25.51;-2.18;15.28;6.41;24.78;JOAJI;GBP;Active;0.00 ;0.00 ;0.9;1year;
Artemis Global Income Fund Class I Acc;GB00B5ZX1M70;Artemis;3586;Financial Services;Global Equity Income;Global Equity Income;1.25;10.36;0.81;;33.03;18.78;11.00;3.55;24.79;ATGBA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Artemis Global Income Fund Class I Inc;GB00B5N99561;Artemis;3586;Financial Services;Global Equity Income;Global Equity Income;1.25;10.35;0.81;;33.01;18.82;11.00;3.55;24.80;ATGBI;GBP;Active;0.00 ;0.00 ;0.75;6months;
BlackRock Consensus 100 Fund D Acc;GB00B7KPX155;BlackRock;34;Financial Services;;;1.35;9.89;0.23;5;;9.93;8.43;8.68;24.81;MCCDE;GBP;Active;0.00 ;0.00 ;0.2;6months;
JPM Emerging Europe Equity Fund C - Net Accumulation;GB00B8DLLD51;J.P. Morgan Asset Management;81;Financial Services;Emerging Europe Equity;Emerging Markets Regional Equity;0.35;17.04;0.93;;11.49;-5.69;-21.15;10.83;24.83;SPNEA;GBP;Active;0.00 ;0.00 ;0.75;1year;
MI Somerset Emerging Markets Dividend Growth A Income shares;GB00B4QKMK51;Somerset;1457;Financial Services;Global Emerging Markets Equity;Emerging Markets Global Equity;1;12.57;1.26;4;11.85;0.29;5.21;6.22;24.83;SSEDI;GBP;Active;0.40 ;0.40 ;1;6months;
Fidelity Emerging Markets Fund W Accumulation Shares;GB00B9SMK778;Fidelity;2014;Technology;Global Emerging Markets Equity;Asia and Emerging Markets;0.96;14.08;1.01;;13.06;4.74;9.26;5.83;24.83;WEMKA;GBP;Active;0.00 ;0.00 ;0.75;1year;
MI Somerset Emerging Markets Dividend Growth A Accumulation shares;GB00B4Q07115;Somerset;1457;Financial Services;Global Emerging Markets Equity;Emerging Markets Global Equity;1;12.56;1.26;4;11.85;0.30;5.21;6.23;24.85;SSEDA;GBP;Active;0.40 ;0.40 ;1;6months;
Legal & General International Index Trust (I) - Inc;GB00B2Q6HX78;Legal & General;1253;Financial Services;Global Large-Cap Blend Equity;Global Equity;1.46;10.46;0.13;4;21.85;9.87;9.99;13.22;24.87;LGIII;GBP;Passive;0.00 ;0.00 ;0.08;6months;
Legal & General International Index Trust (I) - Acc;GB00B2Q6HW61;Legal & General;1253;Financial Services;Global Large-Cap Blend Equity;Global Equity;1.46;10.42;0.13;4;21.85;9.85;9.99;13.19;24.90;LGIIA;GBP;Passive;0.00 ;0.00 ;0.08;6months;
Legal & General Japan Index Trust (I) - Inc;GB00B0CNGV95;Legal & General;1224;Industrials;Japan Large-Cap Equity;Japan Equity;1.19;12.66;0.15;;24.21;-1.69;17.93;6.26;24.92;LGJXI;GBP;Passive;0.00 ;0.00 ;0.11;1year;
Legal & General Japan Index Trust (I) - Acc;GB00B0CNGW03;Legal & General;1224;Industrials;Japan Large-Cap Equity;Japan Equity;1.2;12.65;0.15;;24.21;-1.70;17.97;6.26;24.94;LGJXA;GBP;Passive;0.00 ;0.00 ;0.11;1year;
M&G Pan European Select Fund I Acc;GB00B5ZSNC68;M&G;274;Healthcare;Europe Large-Cap Blend Equity;Europe Equity;1.34;10.32;0.93;;25.44;9.53;4.54;7.66;24.95;MGPAA;GBP;Active;0.00 ;0.00 ;0.75;6months;
M&G Pan European Select Fund I Inc;GB00B6T93L12;M&G;274;Healthcare;Europe Large-Cap Blend Equity;Europe Equity;1.34;10.31;0.93;;25.30;9.52;4.61;7.65;24.96;MGPAI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Invesco Perpetual US Equity Y Acc;GB00BJ04L123;Invesco Perpetual;534;Financial Services;US Large-Cap Blend Equity;North American Equity;1.08;13.83;0.86;;;;13.31;10.08;24.96;IUEYA;GBP;Active;0.00 ;0.00 ;0.86;1year;
iShares S&P Small Cap 600 UCITS ETF USD Dist (GBP);IE00B2QWCY14;IShares;700;Industrials;US Small-Cap Equity;North American Small/Mid Cap Equity;1.46;13.26;0.4;4;28.23;9.24;15.27;15.03;24.96;XISCF;GBP;Passive;0.00 ;0.00 ;0.4;6months;
Premier UK Growth Class C Income;GB0031639221;Premier;122;Financial Services;UK Flex-Cap Equity;UK Equity;0.82;10.45;0.92;;17.60;22.01;11.84;-8.47;24.98;PMUGI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Fundsmith Equity Fund I Class Income;GB00B4MR8G82;Fundsmith;3001;Healthcare;Global Large-Cap Blend Equity;Global Equity;2.13;11.07;0.96;5;27.35;7.43;19.66;33.56;24.98;FDEII;GBP;Active;0.00 ;0.00 ;0.9;6months;
Fundsmith Equity Fund I Class Accumulation;GB00B41YBW71;Fundsmith;3001;Healthcare;Global Large-Cap Blend Equity;Global Equity;2.13;11.08;0.96;5;27.38;7.43;19.68;33.56;25.01;FDEIA;GBP;Active;0.00 ;0.00 ;0.9;6months;
SLI Japanese Eq Grth Plat 1 Acc GBP Hgd;GB00BJSP5375;Standard Life;252;Industrials;Japan Equity - Currency Hedged;Japan Equity;0.52;15.79;0.92;;;;27.24;-18.91;25.02;SLJHA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Invesco Perpetual Global Equity Income Y Acc;GB00BJ04H147;Invesco Perpetual;814;Financial Services;Global Equity Income;Global;1.4;9.25;0.87;;;;8.48;6.05;25.02;IGIYA;GBP;Active;0.00 ;0.00 ;0.87;6months;
Invesco Perpetual Global Equity Income Y Inc;GB00BJ04H253;Invesco Perpetual;814;Financial Services;Global Equity Income;Global;1.4;9.24;0.87;;;;8.48;6.04;25.03;IGIYI;GBP;Active;0.00 ;0.00 ;0.87;6months;
Fidelity Funds - India Focus Fund Y-ACC-USD;LU0346391245;Fidelity;1331;Financial Services;India Equity;Emerging Markets Regional Equity;1.08;18.62;1.1;3;7.27;17.34;23.54;11.34;25.04;YIND;USD;Active;0.00 ;0.00 ;0.8;1year;
iShares MSCI Europe ex-UK UCITS ETF EUR Dist (GBP);IE00B14X4N27;IShares;2371;Financial Services;Europe ex-UK Large-Cap Equity;Europe Equity excl UK;1.05;11.76;0.4;3;23.90;13.89;-1.17;2.33;25.06;XIMSE;GBP;Passive;0.00 ;0.00 ;0.4;Quarter;
GVQ Opportunities A Inc;IE00BYMY5C45;GVQ;0;Consumer Cyclical;UK Flex-Cap Equity;UK Equity;;;1.03;;;;;;25.07;GVOAI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Margetts International Strategy Fund R Acc;GB00B8FN1Z15;Margetts;109;Financial Services;Global Large-Cap Blend Equity;Global Equity;1.2;10.45;1.49;;19.38;8.40;9.35;5.57;25.08;MRISA;GBP;Active;0.00 ;0.00 ;0.69;6months;
Neptune Emerging Markets C Acc;GB00B8J6SV12;Neptune;11;Technology;Global Emerging Markets Equity;Emerging Markets Global Equity;0.91;16.9;0.94;;0.51;0.80;5.93;11.78;25.09;NPMKA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Sarasin Responsible Global Equity P Inc;GB00B75JDT07;Sarasin & Partners;58;Financial Services;Global Large-Cap Blend Equity;Global Equity;1.17;11.46;0.97;;26.74;5.68;8.85;7.01;25.10;SASPI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Investec Global Multi-Asset Total Return Fund I Acc Net GBP;GB00B2Q1JB44;Investec;127;Technology;;;1.2;9.09;1.01;4;24.31;14.13;9.19;0.79;25.11;ICMGA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Sarasin Responsible Global Equity P Acc;GB00B8369M57;Sarasin & Partners;58;Financial Services;Global Large-Cap Blend Equity;Global Equity;1.17;11.51;0.97;;26.85;4.64;8.95;6.96;25.12;SASPA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Neptune India C Acc;GB00B1L6DV51;Neptune;106;Financial Services;India Equity;Emerging Markets Regional Equity;1.15;18.24;1.16;3;4.65;21.05;22.82;13.68;25.12;NPIIA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Majedie UK Focus Fund Class X Accumulation;GB00B7S3QT06;Majedie;898;Financial Services;UK Large-Cap Blend Equity;UK Equity;0.9;10.63;1.53;;33.30;22.71;11.21;-7.70;25.14;MJFXA;GBP;Active;0.00 ;0.00 ;1.5;6months;
Allianz Total Return Asian Equity Fund C Inc;GB00B1FRQV53;Allianz Global Investors Asia Pacific Limited;49;Financial Services;Asia ex Japan Equity;Asia Pacific Equity excl Japan;0.88;15.37;1.23;4;9.77;13.46;12.37;1.64;25.15;DSTRI;GBP;Active;0.00 ;0.00 ;0.88;6months;
Majedie UK Focus Fund Class X Income;GB00B8450512;Majedie;898;Financial Services;UK Large-Cap Blend Equity;UK Equity;0.9;10.63;1.53;;33.30;22.71;11.21;-7.70;25.15;MJFXI;GBP;Active;0.00 ;0.00 ;1.5;6months;
Liontrust Asia Income Fund I - Inc;GB00B7BZB324;Liontrust;93;Technology;;;0.98;14.47;0.97;4;19.91;-0.13;13.20;5.95;25.16;LTARI;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
Polar Capital European (ex UK) Income I GBP Inc;IE00BWX5D287;Polar Capital;145;Financial Services;Europe ex-UK Large-Cap Equity;Europe Equity excl UK;;;0.89;;;;;9.74;25.16;POCEI;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
F&C North American Fund - SC2 Acc;GB0030281512;F&C (BMO GAM);106;Technology;US Large-Cap Blend Equity;North American Equity;1.38;12.4;0.81;;24.30;14.70;16.84;14.36;25.18;FANNA;GBP;Active;0.00 ;0.00 ;0.75;1year;
HSBC Japan Index Fund Inc C;GB00B80QGM70;HSBC;1405;Industrials;Japan Large-Cap Equity;Japan Equity;1.2;12.66;0.21;;24.27;-1.54;18.24;6.06;25.19;HCJII;GBP;Passive;0.00 ;0.00 ;0.1;1year;
Neptune UK Opportunities D Acc;GB00BVCXMD05;Neptune;23;Industrials;UK Flex-Cap Equity;UK Equity;0.98;10.12;0.85;;26.25;14.77;11.53;-7.90;25.22;NPUDA;GBP;Active;0.00 ;0.00 ;0.65;6months;
HSBC Japan Index Fund Acc C;GB00B80QGN87;HSBC;1405;Industrials;Japan Large-Cap Equity;Japan Equity;1.2;12.66;0.21;;24.28;-1.57;18.27;6.07;25.22;HCJIA;GBP;Passive;0.00 ;0.00 ;0.1;1year;
F&C Responsible UK Equity Growth Fund 2 Inc;GB00B8BKZY38;F&C (BMO GAM);404;Consumer Cyclical;UK Flex-Cap Equity;UK Equity;1.02;10.04;0.84;;;14.95;11.34;-3.51;25.23;FCSGT;GBP;Active;0.00 ;0.00 ;0.75;6months;
Investec Global Equity I Acc Net GBP;GB00B01VDL32;Investec;302;Financial Services;Global Large-Cap Blend Equity;Global Equity;1.14;10.75;0.87;;24.58;11.94;11.20;1.76;25.25;ICGEI;GBP;Active;0.00 ;0.00 ;0.75;1year;
F&C Responsible UK Equity Growth Fund 2 Acc;GB0033396481;F&C (BMO GAM);404;Consumer Cyclical;UK Flex-Cap Equity;UK Equity;1.03;10.04;0.79;;22.35;15.05;11.41;-3.45;25.25;FCSGA;GBP;Active;0.00 ;0.00 ;0.75;6months;
M&G Global Select Fund I Acc;GB00B77HHZ62;M&G;716;Healthcare;Global Large-Cap Blend Equity;Global Equity;1.44;10.14;0.91;;28.08;2.13;11.33;9.68;25.25;MGLRA;GBP;Active;0.00 ;0.00 ;0.75;1year;
M&G Global Select Fund I Inc;GB00B556Q879;M&G;716;Healthcare;Global Large-Cap Blend Equity;Global Equity;1.44;10.13;0.91;;28.09;2.13;11.33;9.68;25.26;MGLRI;GBP;Active;0.00 ;0.00 ;0.75;1year;
JPMorgan American Investment Trust plc;GB00BKZGVH64;J.P. Morgan Asset Management;362;Technology;US Large-Cap Blend Equity;North American Equity;1.6;11.18;0.62;5;21.47;13.10;16.47;14.74;25.28;JAMLL;GBP;Active;0.50 ;0.00 ;0.5;6months;
JPM Portfolio Fund C Shares Net Accumulation;GB00B7XL3656;J.P. Morgan Asset Management;80;Financial Services;Global Large-Cap Blend Equity;Global Equity;1.32;8.77;0.93;;24.45;12.19;10.49;1.57;25.29;SPMPA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Polar Capital European (ex UK) Income I GBP Acc;IE00BWX5D394;Polar Capital;145;Financial Services;Europe ex-UK Large-Cap Equity;Europe Equity excl UK;;;0.89;;;;;9.72;25.29;POCEA;GBP;Active;0.00 ;0.00 ;0.75;1year;
BGF New Energy D4RF GBP;LU0435534705;BlackRock;871;Industrials;Sector Equity Alternative Energy;Global Equity;1.11;11.38;1.33;;21.16;14.19;-0.46;11.49;25.40;BGNED;GBP;Active;0.00 ;0.00 ;1;1year;
Premier Optimum Income Class C Income;GB00B3DDDX03;Premier;93;Financial Services;UK Equity Income;UK Equity Income;0.94;10.74;1.03;5;;17.65;10.05;-5.60;25.41;PMOII;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
Royal London Japan Tracker Fund Z Acc;GB00B52R6496;Royal London;1203;Industrials;Japan Large-Cap Equity;Japan Equity;1.2;12.67;0.24;4;22.88;-1.66;18.19;6.10;25.42;ROJGA;GBP;Passive;0.00 ;0.00 ;0.2;6months;
AXA Framlington Monthly Income Z Inc;GB00B7MMK577;AXA IM;264;Financial Services;UK Equity Income;UK Equity Income;1.04;7.97;0.84;;16.07;27.75;4.99;-2.54;25.44;FMOII;GBP;Active;0.00 ;0.00 ;0.75;1month;
iShares Core MSCI EM IMI UCITS ETF USD Acc (GBP);IE00BKM4GZ66;IShares;4514;Technology;Global Emerging Markets Equity;Emerging Markets Global Equity;0.7;15.74;0.25;;;;2.45;4.98;25.45;XICME;GBP;Passive;0.00 ;0.00 ;0.2;1year;
Architas MA Active Dynamic A Acc;GB00B6ZRLF91;Architas;57;Technology;;;1.08;10.65;1.79;;22.25;7.04;8.32;3.07;25.48;ACADA;GBP;Active;0.00 ;0.00 ;0.75;6months;
AXA Framlington Monthly Income Z Acc;GB00B7MMK809;AXA IM;264;Financial Services;UK Equity Income;UK Equity Income;1.03;8.01;0.84;;16.26;27.69;4.97;-2.59;25.48;FMMNA;GBP;Active;0.00 ;0.00 ;0.75;1month;
Allianz Best Styles Global AC Equity C Acc;GB00BYQ91X80;Allianz;103;Financial Services;Global Large-Cap Blend Equity;Global Equity;;;0.75;;;;;;25.49;DSBCA;GBP;Active;0.00 ;0.00 ;0.37;1year;
FP Octopus International Equity Fund B Acc;GB00B45XZH38;Octopus;34;Financial Services;Global Large-Cap Blend Equity;Global Equity;1.32;10.82;0.78;4;21.81;9.28;12.93;7.47;25.50;OIINA;GBP;Active;0.00 ;0.00 ;0.55;6months;
iShares Emerging Markets Equity Tracker Fund Class H Acc;GB00BJL5BW59;BlackRock;937;Financial Services;Global Emerging Markets Equity;Emerging Markets Global Equity;0.68;16.46;0.21;;;;4.77;1.84;25.52;MCEHA;GBP;Passive;0.00 ;0.00 ;0.18;6months;
SLI European Equity Income Plat 1 Inc;GB00B71L0M27;Standard Life;911;Financial Services;Europe ex-UK Large-Cap Equity;Europe Equity excl UK;1.03;12.3;0.9;;32.57;10.81;2.60;7.41;25.53;SLEEI;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
SLI European Equity Income Plat 1 Acc;GB00B7LG0W70;Standard Life;911;Financial Services;Europe ex-UK Large-Cap Equity;Europe Equity excl UK;1.08;11.65;0.9;;32.54;10.93;2.73;7.46;25.53;SLEIE;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
Neptune Global Equity Fund C Inc;GB00B28R3411;Neptune;200;Technology;Global Large-Cap Growth Equity;Global Equity;0.93;12.84;0.85;1;12.71;5.24;15.80;-5.84;25.55;NGECI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Baillie Gifford UK Equity Alpha Fund B Inc;GB0005857908;Baillie Gifford;170;Technology;UK Flex-Cap Equity;UK Equity;0.84;13.97;0.68;;21.81;7.02;7.22;-4.16;25.59;BFBTN;GBP;Active;0.00 ;0.00 ;0.65;6months;
F&C Responsible Global Equity Fund 2 Inc;GB00B828PQ84;F&C (BMO GAM);326;Financial Services;Global Large-Cap Growth Equity;Global Equity;1.57;10.5;0.82;;;4.34;17.34;9.97;25.59;FCSTI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Baillie Gifford UK Equity Alpha Fund B Acc;GB0005858195;Baillie Gifford;170;Technology;UK Flex-Cap Equity;UK Equity;0.84;13.98;0.68;;21.87;7.03;7.20;-4.16;25.60;BFBBA;GBP;Active;0.00 ;0.00 ;0.65;6months;
Neptune Global Equity C Acc;GB00B8DLY478;Neptune;196;Technology;Global Large-Cap Growth Equity;Global Equity;0.93;12.85;0.86;;13.43;5.83;15.85;-5.95;25.61;NPGEA;GBP;Active;0.00 ;0.00 ;0.75;6months;
F&C Responsible Global Equity Fund 2 Acc;GB0033145045;F&C (BMO GAM);326;Financial Services;Global Large-Cap Growth Equity;Global Equity;1.57;10.51;0.8;;24.51;4.53;17.37;10.02;25.61;FCSIT;GBP;Active;0.00 ;0.00 ;0.75;6months;
Fidelity Funds - Emerging Asia Fund Y-ACC-USD;LU0390711777;Fidelity;695;Financial Services;Asia ex Japan Equity;Asia Pacific Equity excl Japan;1.23;14.56;1.09;;14.70;0.25;20.11;10.41;25.61;YEMA;USD;Active;0.00 ;0.00 ;0.8;1year;
Lazard Emerging Markets A Inc;GB0008467101;Lazard;1121;Financial Services;Global Emerging Markets Equity;Asia and Emerging Markets;0.53;17.44;1.08;;7.80;6.29;-6.55;7.31;25.62;LZEMI;GBP;Active;0.00 ;0.00 ;1;6months;
Threadneedle Gbl Select Fund RDR Z Acc;GB00B8C2TM45;Columbia Threadneedle;1162;Financial Services;Global Large-Cap Growth Equity;Global Equity;1.39;11.6;0.88;;23.09;8.41;12.47;13.08;25.62;THLIZ;GBP;Active;0.00 ;0.00 ;0.75;1year;
Lazard Emerging Markets A Acc;GB00B24F1G74;Lazard;1127;Financial Services;Global Emerging Markets Equity;Asia and Emerging Markets;0.53;17.44;1.08;3;7.80;6.31;-6.55;7.25;25.65;LZEGA;GBP;Active;0.00 ;0.00 ;1;6months;
Rathbone Global Opportunities Inst Acc;GB00B7FQLN12;Rathbones;1079;Technology;Global Flex-Cap Equity;Global;1.63;11.15;0.8;5;20.41;11.30;16.66;13.68;25.66;RAGOA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Aberdeen Asia Pacific and Japan Equity Fund I Acc;GB00B0XWNK36;Aberdeen;140;Financial Services;Asia-Pacific inc. Japan Equity;Asia Pacific Equity excl Japan;0.82;13.82;1.24;;12.94;-2.80;7.47;4.99;25.70;ABAJA;GBP;Active;0.00 ;0.00 ;1;1year;
Guinness Asian Equity Income Fund class Y GBP Acc;IE00BDHSRD90;Guinness;44;Financial Services;;;1.23;13.62;0.99;;;;22.29;8.22;25.73;GUAYA;GBP;Active;0.00 ;0.00 ;0.5;6months;
Foreign & Colonial Investment Trust;GB0003466074;Liontrust Panthera Fund Limited;1907;Financial Services;Global Large-Cap Blend Equity;Global Equity;1.65;9.58;0.8;;21.54;8.07;13.16;12.00;25.73;FRCLL;GBP;Active;0.50 ;0.00 ;0.37;Quarter;
Jupiter Asian I Inc;GB00B8JWRF62;Jupiter;54;Technology;Asia ex Japan Equity;Asia Pacific Equity excl Japan;;;1.26;;;;;5.13;25.74;JUASI;GBP;Active;0.00 ;0.00 ;0.75;1year;
Impax Environmental Markets PLC;GB0031232498;Impax Asset Management Ltd;378;Industrials;Sector Equity Ecology;Global Equity;1.54;11.3;1.11;5;25.93;18.37;2.38;22.12;25.74;IEMLL;GBP;Active;0.50 ;0.00 ;0.93;1year;
Jupiter Asian Fund I Class Acc;GB00B54HB974;Jupiter;54;Technology;Asia ex Japan Equity;Asia Pacific Equity excl Japan;0.92;15.27;1.26;;12.03;3.95;13.31;5.14;25.76;JUASA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Fidelity Global Focus Fund W-Accumulation (UK);GB00B3RDH349;Fidelity;412;Consumer Defensive;Global Large-Cap Growth Equity;Global Equity;1.4;11.13;0.96;;21.78;8.21;14.54;9.76;25.79;WGLFA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Artemis US Equity Fund Class I Acc;GB00BMMV4S07;Artemis;25;Technology;US Large-Cap Blend Equity;North American Equity;;;1;;;;;15.89;25.81;ATUEA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Schroder ISF Global Equity Yield A Distribution GBP;LU0242610268;Schroder;309;Financial Services;Global Equity Income;Global Equity Income;1.19;11.14;1.92;;19.50;7.71;8.77;5.82;25.81;SDGEY;GBP;Active;0.00 ;0.00 ;1.5;1year;
Guinness Asian Equity Income Fund class Y GBP Dist;IE00BDHSRF15;Guinness;44;Financial Services;;;1.23;13.62;0.99;;;;21.75;7.77;25.83;GUAYI;GBP;Active;0.00 ;0.00 ;0.5;6months;
F&C Global Thematic Opportunities Fund;GB0008464207;F&C (BMO GAM);46;Financial Services;Global Large-Cap Growth Equity;Global Equity;1.03;11.53;2.28;;18.22;9.58;10.28;-0.46;25.83;RYING;GBP;Active;0.00 ;0.00 ;1.5;1year;
Old Mutual Voyager Global Dynamic Equity Fund R (GBP) Accumulation Shares;GB00B6SF6S87;Old Mutual;567;Financial Services;Global Large-Cap Blend Equity;Global Equity;0.74;12.1;1.06;;20.53;6.91;9.94;-6.37;25.84;SKVGA;GBP;Active;0.00 ;0.00 ;0.5;6months;
TM Cavendish Japan Fund B Inc;GB00B60SMV08;Cavendish;37;Financial Services;;;1.27;11.94;0.87;2;30.46;-2.21;13.05;7.61;25.85;CAJPI;GBP;Active;0.00 ;0.00 ;0.75;1year;
