"","Holding","Fund ISIN","Fund Manager","Fund size","Market sector","Morningstar category","Asset Class","Sharpe ratio 3 year","Standard deviation","OCF/TER(%)","rating","(Current Yr-4)","(Current Yr-3)","(Current Yr-2)","(Current Yr-1)","(Current Yr)","Fund code","Fund currency","Style","Buy","Sell","AMC(%)","Distribution frequency","Distribution yield","HoldingM"
"1053","Fidelity Index US Fund P-Acc","GB00BJS8SH10","Fidelity",1004,"Technology","US Large-Cap Blend Equity","North American Equity",1.6,11.38,0.07,NA,NA,10.37,16.11,18.72,23.52,"PIUSA","GBP","Passive",0,0,0.07,"1year",NA,"FidelityIndexUSFundP-Acc"
"1054","Fidelity Index US Fund P-Inc","GB00BP8RY838","Fidelity",1018,"Technology","US Large-Cap Blend Equity","North American Equity",NA,NA,0.07,NA,NA,NA,NA,18.72,23.52,"PIUSI","GBP","Passive",0,0,0.07,"Quarter",NA,"FidelityIndexUSFundP-Inc"
"1055","iShares North American Equity Tracker Fund Class H Acc","GB00BPFJD412","BlackRock",4680,"Technology","US Large-Cap Blend Equity","North American Equity",NA,NA,0.07,NA,NA,NA,NA,17.14,23.52,"MCNHA","GBP","Passive",0,0,0.06,"6months",NA,"iSharesNorthAmericanEquityTrackerFundClassHAcc"
"1056","Legal & General US Index Trust (I) - Inc","GB00B0CNGS66","Legal & General",3476,"Technology","US Large-Cap Blend Equity","North American Equity",1.65,10.9,0.1,NA,24.46,11.23,15.59,18.66,23.57,"LGSXI","GBP","Passive",0,0,0.07,"6months",NA,"Legal&GeneralUSIndexTrust(I)-Inc"
"1057","Slater Income Fund P Inc","GB00B905XJ71","Slater Investments",122,"Financial Services","UK Equity Income","UK Equity Income",0.83,10.6,0.81,NA,25.58,23.62,12.66,-8.05,23.58,"SRINI","GBP","Active",0,0,0.75,"Quarter",NA,"SlaterIncomeFundPInc"
"1058","HSBC American Index Fund Acc C","GB00B80QG615","HSBC",2766,"Technology","US Large-Cap Blend Equity","North American Equity",1.47,12.22,0.07,NA,24.62,10.37,15.46,19.01,23.58,"HCAIA","GBP","Passive",0,0,0.04,"1year",NA,"HSBCAmericanIndexFundAccC"
"1059","Legal & General US Index Trust (I) - Acc","GB00B0CNGT73","Legal & General",3476,"Technology","US Large-Cap Blend Equity","North American Equity",1.65,10.91,0.1,NA,24.43,11.23,15.59,18.68,23.58,"LGSTA","GBP","Passive",0,0,0.07,"6months",NA,"Legal&GeneralUSIndexTrust(I)-Acc"
"1060","Liontrust Sustainable Future Global Growth Fund Class 2 Net Accumulation","GB0030030067","Liontrust",54,"Technology","Global Large-Cap Growth Equity","Global Equity",1.18,11.94,0.85,NA,23.86,8.59,9.79,7.98,23.59,"ALGLA","GBP","Active",0,0,0.75,"6months",NA,"LiontrustSustainableFutureGlobalGrowthFundClass2NetAccumulation"
"1061","Aviva Investors UK Opportunities Fund SC 2 Acc","GB0030944648","Aviva Investors",219,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.82,9.54,0.73,NA,22.13,10.64,10.62,-8.05,23.59,"MOUOA","GBP","Active",0,0,0.7,"6months",NA,"AvivaInvestorsUKOpportunitiesFundSC2Acc"
"1062","Franklin India Fund W Acc GBP","LU0768358961","Franklin Templeton",3294,"Financial Services","India Equity","Emerging Markets Regional Equity",1.17,18.33,1.14,NA,5.25,20.76,24.85,15.21,23.59,"FOIDA","GBP","Active",0,0,0.75,"1year",NA,"FranklinIndiaFundWAccGBP"
"1063","Henderson Far East Income Limited","JE00B1GXH751","Henderson Global Investors",282,"Financial Services","","",0.84,13.77,1.06,3,20.38,-0.35,9.76,4.97,23.6,"HFELL","GBP","Active",0,0,0.9,"Quarter",NA,"HendersonFarEastIncomeLimited"
"1064","Fidelity Funds - Euro Blue Chip Fund Y-ACC-Euro","LU0346388290","Fidelity",679,"Financial Services","Eurozone Large-Cap Equity","Europe Equity excl UK",1,11.26,1.06,3,33.27,13.43,2.43,2.62,23.6,"YEBC","EUR","Active",0,0,0.8,"1year",NA,"FidelityFunds-EuroBlueChipFundY-ACC-Euro"
"1065","Artemis European Opportunities Class IH Inc","GB00B6WFCV99","Artemis",369,"Financial Services","Europe Equity - Currency Hedged","Europe Equity excl UK",0.88,12.04,0.85,NA,27.43,19.8,15.51,-5.26,23.61,"ATEHI","GBP","Active",0,0,0.75,"1year",NA,"ArtemisEuropeanOpportunitiesClassIHInc"
"1066","HSBC American Index Fund Inc C","GB00B80QG490","HSBC",2766,"Technology","US Large-Cap Blend Equity","North American Equity",1.47,12.24,0.07,NA,24.6,10.36,15.45,18.99,23.61,"HCAII","GBP","Passive",0,0,0.04,"1year",NA,"HSBCAmericanIndexFundIncC"
"1067","GAM Global Diversified - GBP Institutional (Inc)","GB00B41V8X85","GAM",506,"Financial Services","Global Large-Cap Value Equity","Global Equity",1.04,10.16,1.11,NA,35.92,12.03,4.47,3.54,23.62,"GAGDI","GBP","Active",0,0,1.05,"1year",NA,"GAMGlobalDiversified-GBPInstitutional(Inc)"
"1068","Kames Global Equity B Acc","GB0007274516","Kames",68,"Technology","Global Large-Cap Blend Equity","Global Equity",1.43,10,0.87,NA,27.84,7.56,12.68,7.1,23.63,"AEGEB","GBP","Active",0,0,0.75,"1year",NA,"KamesGlobalEquityBAcc"
"1069","GAM Global Diversified - GBP Institutional (Acc)","GB00B66RBL40","GAM",506,"Financial Services","Global Large-Cap Value Equity","Global Equity",1.04,10.16,1.11,NA,35.89,12.03,4.47,3.54,23.63,"GAGDA","GBP","Active",0,0,1.05,"1year",NA,"GAMGlobalDiversified-GBPInstitutional(Acc)"
"1070","Smith & Williamson North American Equity Fund B Inc","GB00B40T1C34","Smith & Williamson",64,"Technology","US Large-Cap Blend Equity","North American Equity",1.17,12.28,0.7,NA,26.82,6.83,9.12,11.48,23.65,"SMNNI","GBP","Active",0,0,0.65,"6months",NA,"Smith&WilliamsonNorthAmericanEquityFundBInc"
"1071","Close Strategic Alpha Fund X (Accumulation)","GB00B7MTYH88","Close Brothers",12,"Financial Services","","",0.99,11.03,1.59,NA,18.08,10.05,13.28,-3.08,23.66,"CLSXA","GBP","Active",0,0,0.75,"6months",NA,"CloseStrategicAlphaFundX(Accumulation)"
"1072","BGF India D4RF GBP","LU0827882712","BlackRock",449,"Financial Services","India Equity","Emerging Markets Regional Equity",1.16,18.99,1.23,NA,NA,21.19,24.84,13.75,23.67,"BGIND","GBP","Active",0,0,0.75,"1year",NA,"BGFIndiaD4RFGBP"
"1073","The Brunner Investment Trust PLC","GB0001490001","Allianz Global Investors",199,"Financial Services","Global Large-Cap Blend Equity","Global Equity",1.08,10.93,0.75,NA,20.05,12.69,5.9,4.83,23.7,"BUTLL","GBP","Active",0.5,0,0.45,"Quarter",NA,"TheBrunnerInvestmentTrustPLC"
"1074","Carmignac Portfolio Grande Europe W GBP Acc Hdg","LU0553405878","Carmignac Gestion",293,"Industrials","Europe Equity - Currency Hedged","Europe Equity excl UK",0.5,11.76,1.15,NA,5.45,21.5,12.12,-16.07,23.7,"CAGEA","GBP","Active",0,0,0.85,"1year",NA,"CarmignacPortfolioGrandeEuropeWGBPAccHdg"
"1075","Aberdeen Multi-Manager Ethical Portfolio Class I - Acc","GB00B87TVT17","Aberdeen",60,"Technology","","",1.22,10.36,1.63,NA,21.27,12.47,8.39,7.74,23.74,"CMETA","GBP","Active",0,0,0.5,"1year",NA,"AberdeenMulti-ManagerEthicalPortfolioClassI-Acc"
"1076","Aberdeen Multi-Manager Ethical Portfolio Class I - Inc","GB00B8868L21","Aberdeen",60,"Technology","","",1.22,10.37,1.63,NA,NA,12.19,8.4,7.74,23.74,"CMETI","GBP","Active",0,0,0.5,"1year",NA,"AberdeenMulti-ManagerEthicalPortfolioClassI-Inc"
"1077","Baillie Gifford Global Income Growth Fund B Acc","GB0005772479","Baillie Gifford",455,"Financial Services","Global Equity Income","Global Equity Income",1.49,9.32,0.68,NA,17.4,9,6.37,13.7,23.76,"BFGIA","GBP","Active",0,0,0.65,"Quarter",NA,"BaillieGiffordGlobalIncomeGrowthFundBAcc"
"1078","Kames Global Sustainable Equity Fund B Acc","IE00BYZJ3441","Kames",44,"Technology","Global Large-Cap Blend Equity","Global Equity",NA,NA,0.99,NA,NA,NA,NA,NA,23.77,"AEGSA","GBP","Active",0,0,0.75,"Quarter",NA,"KamesGlobalSustainableEquityFundBAcc"
"1079","The Scottish American Investment Company PLC","GB0007873697","Baillie Gifford",299,"Financial Services","","",1.49,9.56,0.93,4,16.89,6.91,5.82,15.63,23.77,"SCALL","GBP","Active",0.5,0,0.59,"Quarter",NA,"TheScottishAmericanInvestmentCompanyPLC"
"1080","Fidelity Funds - India Focus Fund Y-GBP","LU0457960192","Fidelity",1291,"Financial Services","India Equity","Emerging Markets Regional Equity",1.09,18.42,1.1,3,6.99,17.5,23.5,12.47,23.78,"YIFA","GBP","Active",0,0,0.8,"1year",NA,"FidelityFunds-IndiaFocusFundY-GBP"
"1081","Baillie Gifford Global Income Growth Fund B Inc","GB0005772586","Baillie Gifford",455,"Financial Services","Global Equity Income","Global Equity Income",1.49,9.32,0.68,NA,17.25,9,6.39,13.66,23.79,"BFGII","GBP","Active",0,0,0.65,"Quarter",NA,"BaillieGiffordGlobalIncomeGrowthFundBInc"
"1082","First State Asia Focus Fund Class B (Acc) GBP","GB00BWNGXJ86","First State",0,"Technology","Asia-Pacific ex-Japan Equity","Asia Pacific Equity excl Japan",NA,NA,0.99,NA,NA,NA,NA,NA,23.81,"FTFBA","GBP","Active",0,0,0.85,"6months",NA,"FirstStateAsiaFocusFundClassB(Acc)GBP"
"1083","Architas MA Passive Dynamic A Acc","GB00B7XRTZ41","Architas",18,"Financial Services","","",0.93,11.54,0.65,NA,13.09,5.87,5.09,5.02,23.81,"ACPDA","GBP","Active",0,0,0.45,"6months",2.59,"ArchitasMAPassiveDynamicAAcc"
"1084","Fidelity Asian Dividend Fund W-Acc","GB00B8W5LX86","Fidelity",6,"Financial Services","","",1.04,13.37,0.77,NA,NA,NA,10.42,12.09,23.87,"ADWA","GBP","Active",0,0,0.75,"1year",NA,"FidelityAsianDividendFundW-Acc"
"1085","Baring UK Growth Trust Class I GBP Inc","GB00B8DFR516","Barings",20,"Consumer Defensive","UK Large-Cap Blend Equity","UK Equity",0.86,10.24,0.96,NA,19.23,10.93,4.83,-2.24,23.9,"BIUGI","GBP","Active",0,0,0.75,"6months",NA,"BaringUKGrowthTrustClassIGBPInc"
"1086","iShares US Equity Tracker Fund Class D Acc","GB00B5VRGY09","BlackRock",1125,"Technology","US Large-Cap Blend Equity","North American Equity",1.58,11.4,0.08,4,24.35,10.8,16.15,17.66,23.9,"MCEQA","GBP","Passive",0,0,0.06,"6months",NA,"iSharesUSEquityTrackerFundClassDAcc"
"1087","Architas MA Passive Dynamic D Acc","GB00BNGNDL53","Architas",18,"Financial Services","","",0.94,11.59,0.5,NA,12.63,5.34,5.4,5.11,23.92,"ACMDA","GBP","Active",0,0,0.3,"6months",0,"ArchitasMAPassiveDynamicDAcc"
"1088","Fidelity Asian Dividend Fund W-Inc","GB00B8W5M023","Fidelity",6,"Financial Services","","",1.05,13.33,0.77,NA,NA,NA,10.47,12.06,23.93,"ADWI","GBP","Active",0,0,0.75,"Quarter",NA,"FidelityAsianDividendFundW-Inc"
"1089","Fidelity Index Pacific ex Japan Fund P Accumulation Shares","GB00BHZK8G51","Fidelity",122,"Financial Services","Asia-Pacific ex-Japan Equity","Asia Pacific Equity excl Japan",0.69,14.97,0.13,NA,NA,NA,0.63,8.92,23.94,"PIPJA","GBP","Passive",0,0,0.13,"1year",NA,"FidelityIndexPacificexJapanFundPAccumulationShares"
"1090","Fidelity Index Pacific ex Japan Fund P-Inc","GB00BP8RYR23","Fidelity",126,"Financial Services","Asia-Pacific ex-Japan Equity","Asia Pacific Equity excl Japan",NA,NA,0.13,NA,NA,NA,NA,8.92,23.94,"PIPJI","GBP","Passive",0,0,0.13,"Quarter",NA,"FidelityIndexPacificexJapanFundP-Inc"
"1091","Standard Life Equity IncomeTrust plc","GB0006039597","Standard Life Invts - Corp Funds",105,"Financial Services","UK Equity Income","UK Equity Income",0.82,11.4,0.94,3,28.14,16.97,14.23,-10.4,23.95,"SLETL","GBP","Active",0.5,0,0.65,"Quarter",NA,"StandardLifeEquityIncomeTrustplc"
"1092","Legal & General UK Select Equity Fund (I) - Acc","GB00B8F72V68","Legal & General",464,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.94,9.27,0.78,NA,22.81,13.44,4.78,0.58,23.97,"LGSEA","GBP","Active",0,0,0.75,"6months",NA,"Legal&GeneralUKSelectEquityFund(I)-Acc"
"1093","GS Global Equity Partners Portfolio R (GBP)","LU0860993731","Goldman Sachs AM",502,"Industrials","Global Large-Cap Blend Equity","Global Equity",1.35,10.19,0.93,NA,28.03,9.26,14.2,5.59,23.97,"GSEPP","GBP","Active",0,0,0.75,"1year",NA,"GSGlobalEquityPartnersPortfolioR(GBP)"
"1094","Matthews India I Accumulation Gbp","LU0594558263","Matthews Asia",102,"Financial Services","India Equity","Emerging Markets Regional Equity",1.15,16.64,1.5,NA,5.99,23.68,30.81,9.58,24,"MTINA","GBP","Active",0,0,0.75,"1year",NA,"MatthewsIndiaIAccumulationGbp"
"1095","Threadneedle Pan European Fund RDR Z Acc","GB00B84X6K21","Columbia Threadneedle",329,"Financial Services","Europe Large-Cap Growth Equity","Europe Equity",1.2,10.06,0.88,NA,29.84,10.22,9.02,1.43,24.01,"THAPA","GBP","Active",0,0,0.75,"1year",NA,"ThreadneedlePanEuropeanFundRDRZAcc"
"1096","Legal & General UK Select Equity Fund (I) - Inc","GB00B887M570","Legal & General",464,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.92,9.23,0.78,NA,NA,13.47,4.77,0.03,24.01,"LGSEI","GBP","Active",0,0,0.75,"6months",NA,"Legal&GeneralUKSelectEquityFund(I)-Inc"
"1097","SLI UK Equity Uncons Plat 1 Acc","GB00B7LK2232","Standard Life",687,"Consumer Cyclical","UK Flex-Cap Equity","UK Equity",0.39,15.11,1.15,NA,60.24,21.92,13.6,-21.24,24.01,"SLEQU","GBP","Active",0,0,1,"6months",NA,"SLIUKEquityUnconsPlat1Acc"
"1098","Schroder Recovery Fund Z Accumulation","GB00B3VVG600","Schroder",1040,"Financial Services","UK Flex-Cap Equity","UK Equity",0.71,10.66,0.91,NA,45.95,18.92,5.13,-6.04,24.02,"SZRYA","GBP","Active",0,0,0.75,"1year",NA,"SchroderRecoveryFundZAccumulation"
"1099","Fidelity Funds - European Growth Fund W-ACC-GBP","LU1235296263","Fidelity",6647,"Healthcare","Europe Large-Cap Blend Equity","Europe",NA,NA,1.04,NA,NA,NA,NA,6.92,24.02,"WEGRA","GBP","Active",0,0,0.8,"1year",NA,"FidelityFunds-EuropeanGrowthFundW-ACC-GBP"
"1100","Schroder Recovery Fund Z Income","GB00B3W2HM55","Schroder",1040,"Financial Services","UK Flex-Cap Equity","UK Equity",0.71,10.66,0.91,NA,45.94,18.92,5.12,-6.04,24.03,"SZRYI","GBP","Active",0,0,0.75,"1year",NA,"SchroderRecoveryFundZIncome"
"1101","GVQ UK Focus Fund Class I Income","IE0033377494","GVQ",38,"Consumer Cyclical","UK Flex-Cap Equity","UK Equity",0.86,11.66,0.99,NA,31.29,28.29,9.62,-7.5,24.08,"GVUFI","GBP","Active",0,0,0.75,"6months",NA,"GVQUKFocusFundClassIIncome"
"1102","Nordea 1- Nordic Equity Fund BC GBP","LU0841548497","Nordea Investment Management AB",224,"Financial Services","Nordic Equity","Europe Equity excl UK",1.17,9.84,1.37,2,NA,14.74,-1.38,8.12,24.1,"NOEQA","GBP","Active",0,0,1.1,"1year",NA,"Nordea1-NordicEquityFundBCGBP"
"1103","AXA Framlington American Growth Z Acc","GB00B5LXGG05","AXA IM",530,"Technology","US Large-Cap Growth Equity","North American Equity",1.27,13.42,0.82,NA,14.25,13.79,22.44,8.05,24.1,"FMAMA","GBP","Active",0,0,0.75,"1year",NA,"AXAFramlingtonAmericanGrowthZAcc"
"1104","Fidelity Funds - European Larger Companies Fund Y-ACC-Euro","LU0318939765","Fidelity",1039,"Healthcare","Europe Large-Cap Blend Equity","Europe Equity",1.06,10.93,1.06,NA,25.46,11.3,3.87,6.64,24.12,"YELC","EUR","Active",0,0,0.8,"1year",NA,"FidelityFunds-EuropeanLargerCompaniesFundY-ACC-Euro"
"1105","JPM Emerging Markets Income Fund C - Net Accumulation","GB00B5M5KY18","J.P. Morgan Asset Management",313,"Financial Services","Global Emerging Markets Equity","Emerging Markets Global Equity",0.56,15.56,0.93,NA,NA,1.05,-2.29,5.48,24.13,"SPMKA","GBP","Active",0,0,0.75,"Quarter",NA,"JPMEmergingMarketsIncomeFundC-NetAccumulation"
"1106","AXA Framlington American Growth Z Inc","GB00B4152K59","AXA IM",530,"Technology","US Large-Cap Growth Equity","North American Equity",1.27,13.4,0.82,NA,14.26,13.8,22.46,8,24.13,"FMAMI","GBP","Active",0,0,0.75,"1year",NA,"AXAFramlingtonAmericanGrowthZInc"
"1107","Vanguard Global Small-Cap Index Acc","IE00B3X1NT05","Vanguard",922,"Industrials","Global Small-Cap Equity","Global Equity",1.63,9.71,0.38,3,25.75,12.53,10.15,12.87,24.14,"VNGSA","GBP","Passive",0,0,0.38,"Quarter",NA,"VanguardGlobalSmall-CapIndexAcc"
"1108","Vanguard Global Small-Cap Index Inc","IE00B3X1LS57","Vanguard",922,"Industrials","Global Small-Cap Equity","Global Equity",1.63,9.71,0.38,3,25.75,12.53,10.15,12.87,24.14,"VNGSI","GBP","Passive",0,0,0.38,"Quarter",NA,"VanguardGlobalSmall-CapIndexInc"
"1109","HSBC FTSE 250 Index Fund Acc C","GB00B80QG052","HSBC",779,"Industrials","UK Mid-Cap Equity","UK Small/Mid Cap Equity",1.02,10.58,0.18,NA,29.76,16.48,14.09,-6.36,24.15,"HCTIA","GBP","Passive",0,0,0.1,"1year",NA,"HSBCFTSE250IndexFundAccC"
"1110","Legal & General Global Equity Index I Acc","GB00B83LW328","Legal & General",56,"Financial Services","Global Large-Cap Growth Equity","Global Equity",1.4,10.22,0.39,3,NA,8.71,8.91,11.92,24.17,"LGIXA","GBP","Passive",0,0,0.25,"6months",NA,"Legal&GeneralGlobalEquityIndexIAcc"
"1111","JPM Emerging Markets Income Fund C - Net Income","GB00B5N1BC33","J.P. Morgan Asset Management",313,"Financial Services","Global Emerging Markets Equity","Emerging Markets Global Equity",0.56,15.57,0.93,NA,NA,NA,-2.29,5.51,24.17,"SPMKI","GBP","Active",0,0,0.75,"Quarter",NA,"JPMEmergingMarketsIncomeFundC-NetIncome"
"1112","Legal & General Global Equity Index I Inc","GB00B84K1975","Legal & General",56,"Financial Services","Global Large-Cap Growth Equity","Global Equity",1.4,10.22,0.39,3,NA,8.78,8.93,11.85,24.19,"LGIXI","GBP","Passive",0,0,0.25,"6months",NA,"Legal&GeneralGlobalEquityIndexIInc"
"1113","HSBC FTSE 250 Index Fund Inc C","GB00B80QFZ35","HSBC",779,"Industrials","UK Mid-Cap Equity","UK Small/Mid Cap Equity",1.01,10.6,0.18,NA,29.55,16.65,14.03,-6.41,24.22,"HCTII","GBP","Passive",0,0,0.1,"1year",NA,"HSBCFTSE250IndexFundIncC"
"1114","Baring Frontier Markets Fund Class I GBP Inc","IE00B8TS4Q42","Barings",24,"Financial Services","Global Frontier Markets Equity","Emerging Markets Global Equity",0.78,10.3,2.02,NA,NA,12.31,0.8,3.98,24.25,"BOMII","GBP","Active",0,0,1.25,"1year",NA,"BaringFrontierMarketsFundClassIGBPInc"
"1115","Vanguard SRI European Stock Fund Acc","IE00B76VTL96","Vanguard",510,"Financial Services","Europe Large-Cap Blend Equity","Europe Equity",0.96,10.84,0.3,3,22.34,14.38,0.85,3.78,24.25,"VAESA","GBP","Passive",0,0,0.3,"Quarter",NA,"VanguardSRIEuropeanStockFundAcc"
"1116","Vanguard SRI European Stock Fund Inc","IE00B76VTR58","Vanguard",510,"Financial Services","Europe Large-Cap Blend Equity","Europe Equity",0.96,10.84,0.3,3,22.34,14.38,0.84,3.78,24.25,"VAESI","GBP","Passive",0,0,0.3,"Quarter",NA,"VanguardSRIEuropeanStockFundInc"
"1117","Pictet Clean Energy I dy GBP","LU0448836949","Pictet",494,"Technology","Sector Equity Alternative Energy","Global Equity",0.72,13.46,1.21,4,19.18,20.81,5.58,-5.42,24.3,"PICLI","GBP","Active",0,0,0.8,"1year",NA,"PictetCleanEnergyIdyGBP"
"1118","Fidelity Index World Fund P-Inc","GB00BP8RYB62","Fidelity",479,"Financial Services","Global Large-Cap Blend Equity","Global Equity",NA,NA,0.13,NA,NA,NA,NA,11.88,24.32,"PIWOI","GBP","Passive",0,0,0.13,"Quarter",NA,"FidelityIndexWorldFundP-Inc"
"1119","Fidelity Index World Fund P-Acc","GB00BJS8SJ34","Fidelity",441,"Financial Services","Global Large-Cap Blend Equity","Global Equity",1.42,10.42,0.13,NA,NA,10.12,10.63,11.87,24.33,"PIWOA","GBP","Passive",0,0,0.13,"1year",NA,"FidelityIndexWorldFundP-Acc"
"1120","iShares Japan Equity Tracker Fund Class H Acc","GB00BJL5BZ80","BlackRock",1997,"Industrials","Japan Large-Cap Equity","Japan Equity",1.26,12.11,0.11,NA,NA,NA,18.31,7.04,24.33,"MCJHA","GBP","Passive",0,0,0.1,"6months",NA,"iSharesJapanEquityTrackerFundClassHAcc"
"1121","BlackRock UK Equity D Inc","GB00B669PN06","BlackRock",380,"Consumer Cyclical","UK Large-Cap Blend Equity","UK Equity",1.03,9.75,0.92,NA,16.7,11.75,7.76,0.19,24.34,"MCKDI","GBP","Active",0,0,0.75,"6months",NA,"BlackRockUKEquityDInc"
"1122","Fidelity Funds - European Growth Fund Y-ACC-Euro","LU0346388373","Fidelity",6616,"Financial Services","Europe Large-Cap Blend Equity","Europe",1.09,10.93,1.04,4,24.17,11.2,4.37,6.83,24.34,"YEUG","EUR","Active",0,0,0.8,"1year",NA,"FidelityFunds-EuropeanGrowthFundY-ACC-Euro"
"1123","CF Miton UK Multi Cap Income Fund B Inc","GB00B4M24M14","Miton",811,"Financial Services","UK Equity Income","UK Equity Income",1.38,8.07,0.81,5,34.73,26.98,12.43,-1.92,24.35,"MIMCI","GBP","Active",0,0,0.75,"Quarter",NA,"CFMitonUKMultiCapIncomeFundBInc"
"1124","Scottish Investment Trust","GB0007826091","Scottish Investment Trust (The) PLC",591,"Financial Services","Global Large-Cap Blend Equity","Global Equity",1.45,9.43,0.52,4,20.37,7.73,6.45,9.33,24.37,"SCINL","GBP","Active",0.5,0,0.52,"6months",NA,"ScottishInvestmentTrust"
"1125","Fidelity Funds - Emerging Asia Fund W-ACC-GBP","LU1033662591","Fidelity",693,"Financial Services","Asia ex Japan Equity","Asia Pacific Equity excl Japan",1.24,14.43,1.1,NA,13.4,-0.15,19.79,11.44,24.37,"WFEAF","GBP","Active",0,0,0.8,"1year",NA,"FidelityFunds-EmergingAsiaFundW-ACC-GBP"
"1126","BlackRock UK Equity D Acc","GB00B410CR74","BlackRock",380,"Consumer Cyclical","UK Large-Cap Blend Equity","UK Equity",1.02,9.77,0.92,NA,16.79,11.8,7.73,0.21,24.38,"MCKDA","GBP","Active",0,0,0.75,"6months",NA,"BlackRockUKEquityDAcc"
"1127","CF Miton UK Multi Cap Income Fund B Acc","GB00B41NHD71","Miton",811,"Financial Services","UK Equity Income","UK Equity Income",1.38,8.1,0.81,5,34.88,27.19,12.24,-1.96,24.39,"MIMCA","GBP","Active",0,0,0.75,"Quarter",NA,"CFMitonUKMultiCapIncomeFundBAcc"
"1128","Jupiter UK Alpha Fund I Class Acc","GB00B457WC97","Jupiter",22,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.64,10.71,0.83,NA,25.29,15.58,10.96,-12.96,24.4,"JUUAA","GBP","Active",0,0,0.75,"6months",NA,"JupiterUKAlphaFundIClassAcc"
"1129","HSBC MSCI Emerging Markets ETF","IE00B5SSQT16","HSBC",271,"Technology","Global Emerging Markets Equity","Emerging Markets Global Equity",0.68,16.08,0.4,3,1.66,-0.5,-0.72,2.28,24.42,"XHMFE","GBP","Passive",0,0,0.4,"Quarter",NA,"HSBCMSCIEmergingMarketsETF"
"1130","HSBC FTSE All World Index Fund C Inc","GB00BMJJJG09","HSBC",1670,"Financial Services","Global Large-Cap Blend Equity","Global Equity",NA,NA,0.2,NA,NA,NA,NA,11.16,24.43,"HSFWI","GBP","Passive",0,0,0.1,"1year",NA,"HSBCFTSEAllWorldIndexFundCInc"
"1131","Jupiter European Opportunities Trust PLC","GB0000197722","Jupiter Asset Management",185,"Financial Services","Europe Flex-Cap Equity","Europe Equity",1.45,12.07,0.96,5,27.1,15.77,14.34,10.77,24.46,"JEOLL","GBP","Active",0.5,0,0.75,"1year",NA,"JupiterEuropeanOpportunitiesTrustPLC"
"1132","iShares S&P 500 UCITS ETF USD Dist (GBP)","IE0031442068","IShares",5800,"Technology","US Large-Cap Blend Equity","North American Equity",1.77,10.22,0.4,NA,22.89,9.63,14.47,16.83,24.47,"XISFH","GBP","Passive",0,0,0.4,"Quarter",NA,"iSharesS&P500UCITSETFUSDDist(GBP)"
"1133","Aviva Investors International Index Tracking Fund SC 2 Acc","GB00B2NRNX53","Aviva Investors",814,"Financial Services","Global Large-Cap Blend Equity","Global Equity",1.32,11.21,0.31,4,23.17,9.4,9.88,12.46,24.49,"NUIIA","GBP","Passive",0,0,0.2,"6months",NA,"AvivaInvestorsInternationalIndexTrackingFundSC2Acc"
"1134","M&G UK Select I Inc","GB00B3R2HL98","M&G",603,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.64,10.26,0.91,NA,19.01,14.23,7.98,-9.84,24.5,"MGUWI","GBP","Active",0,0,0.75,"6months",NA,"M&GUKSelectIInc"
"1135","M&G UK Select I Acc","GB00B6677B69","M&G",629,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.64,10.26,0.91,NA,19.07,14.24,7.97,-9.84,24.52,"MGUWA","GBP","Active",0,0,0.75,"6months",NA,"M&GUKSelectIAcc"
"1136","Fidelity European Values PLC.","GB00BK1PKQ95","Fidelity",968,"Financial Services","Europe ex-UK Large-Cap Equity","Europe Equity excl UK",1.17,12.05,0.99,4,27.21,10.72,8.24,7.98,24.52,"FEVL","GBP","Active",0.5,0,0.85,"1year",NA,"FidelityEuropeanValuesPLC."
"1137","BlackRock Continental European Fund Class D Inc","GB00B6YTYJ18","BlackRock",659,"Industrials","Europe ex-UK Large-Cap Equity","Europe Equity excl UK",1.4,10.23,0.93,NA,32.72,11.13,8.76,6.2,24.53,"MCCOI","GBP","Active",0,0,0.75,"1year",NA,"BlackRockContinentalEuropeanFundClassDInc"
"1138","Law Debenture Corporation","GB0031429219","Henderson Global Investors",379,"Industrials","Global Flex-Cap Equity","Global Equity",1.16,8.58,0.46,3,21.19,20.04,3.1,1.44,24.54,"LWDBL","GBP","Active",0.5,0,0.46,"6months",NA,"LawDebentureCorporation"
"1139","iShares MSCI Europe UCITS ETF EUR Acc (GBP)","IE00B4K48X80","IShares",660,"Financial Services","Europe Large-Cap Blend Equity","Europe Equity",0.96,10.93,0.33,3,22.81,15.05,0.45,4.45,24.54,"XCMEA","GBP","Passive",0,0,0.33,"1year",NA,"iSharesMSCIEuropeUCITSETFEURAcc(GBP)"
"1140","HSBC FTSE All World Index Fund C Acc","GB00BMJJJF91","HSBC",1670,"Financial Services","Global Large-Cap Blend Equity","Global Equity",NA,NA,0.2,NA,NA,NA,NA,11.19,24.54,"HSFWA","GBP","Passive",0,0,0.1,"1year",NA,"HSBCFTSEAllWorldIndexFundCAcc"
